Date,Close,Ticker
Jan-04-2010,640.1,Russell 2000
Jan-05-2010,638.49,Russell 2000
Jan-06-2010,637.95,Russell 2000
Jan-07-2010,641.97,Russell 2000
Jan-08-2010,644.56,Russell 2000
Jan-11-2010,643.99,Russell 2000
Jan-12-2010,635.5,Russell 2000
Jan-13-2010,643.56,Russell 2000
Jan-14-2010,646.43,Russell 2000
Jan-15-2010,637.96,Russell 2000
Jan-19-2010,649.15,Russell 2000
Jan-20-2010,639.61,Russell 2000
Jan-21-2010,628.36,Russell 2000
Jan-22-2010,617.12,Russell 2000
Jan-25-2010,618.11,Russell 2000
Jan-26-2010,612.16,Russell 2000
Jan-27-2010,618.38,Russell 2000
Jan-28-2010,607.93,Russell 2000
Jan-29-2010,602.04,Russell 2000
Feb-01-2010,609.25,Russell 2000
Feb-02-2010,614.05,Russell 2000
Feb-03-2010,610.66,Russell 2000
Feb-04-2010,589.68,Russell 2000
Feb-05-2010,592.98,Russell 2000
Feb-08-2010,586.49,Russell 2000
Feb-09-2010,595.17,Russell 2000
Feb-10-2010,595.82,Russell 2000
Feb-11-2010,605.46,Russell 2000
Feb-12-2010,610.72,Russell 2000
Feb-16-2010,620.84,Russell 2000
Feb-17-2010,624.83,Russell 2000
Feb-18-2010,629.32,Russell 2000
Feb-19-2010,631.62,Russell 2000
Feb-22-2010,632.25,Russell 2000
Feb-23-2010,625.07,Russell 2000
Feb-24-2010,630.43,Russell 2000
Feb-25-2010,630.46,Russell 2000
Feb-26-2010,628.56,Russell 2000
Mar-01-2010,642.65,Russell 2000
Mar-02-2010,648.31,Russell 2000
Mar-03-2010,649.26,Russell 2000
Mar-04-2010,652.47,Russell 2000
Mar-05-2010,666.02,Russell 2000
Mar-08-2010,667.11,Russell 2000
Mar-09-2010,669.63,Russell 2000
Mar-10-2010,674.93,Russell 2000
Mar-11-2010,677.22,Russell 2000
Mar-12-2010,676.59,Russell 2000
Mar-15-2010,674.41,Russell 2000
Mar-16-2010,679.58,Russell 2000
Mar-17-2010,683.98,Russell 2000
Mar-18-2010,681.61,Russell 2000
Mar-19-2010,673.89,Russell 2000
Mar-22-2010,682.91,Russell 2000
Mar-23-2010,690.3,Russell 2000
Mar-24-2010,683.68,Russell 2000
Mar-25-2010,679.1,Russell 2000
Mar-26-2010,678.97,Russell 2000
Mar-29-2010,682.25,Russell 2000
