Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2010-07-19,0.08584,0.07723,0.09307,0.0808,0.0808,4900,BTCUSD=X
2010-07-20,0.0808,0.07426,0.08181,0.07474,0.07474,2000,BTCUSD=X
2010-07-21,0.07474,0.06634,0.07921,0.07921,0.07921,4200,BTCUSD=X
2010-07-22,0.07921,0.0505,0.08181,0.0505,0.0505,12900,BTCUSD=X
2010-07-23,0.0505,0.0505,0.06767,0.06262,0.06262,14100,BTCUSD=X
2010-07-26,0.0505,0.05,0.056,0.056,0.056,4600,BTCUSD=X
2010-07-27,0.056,0.053,0.0605,0.06,0.06,19600,BTCUSD=X
2010-07-28,0.06,0.054,0.062,0.0589,0.0589,25500,BTCUSD=X
2010-07-29,0.0589,0.0571,0.0699,0.0699,0.0699,52800,BTCUSD=X
2010-07-30,0.0699,0.0582,0.0698,0.0627,0.0627,19800,BTCUSD=X
2010-08-02,0.0611,0.06,0.0633,0.06,0.06,22100,BTCUSD=X
2010-08-03,0.06,0.059,0.065,0.06,0.06,60600,BTCUSD=X
2010-08-04,0.06,0.057,0.06231,0.057,0.057,21000,BTCUSD=X
2010-08-05,0.057,0.058,0.061,0.061,0.061,30300,BTCUSD=X
2010-08-06,0.061,0.0607,0.0624,0.0623,0.0623,8500,BTCUSD=X
2010-08-09,0.0609,0.0593,0.0735,0.071,0.071,88600,BTCUSD=X
2010-08-10,0.071,0.06651,0.0709,0.07,0.07,8800,BTCUSD=X
2010-08-11,0.07,0.06,0.07541,0.067,0.067,101500,BTCUSD=X
2010-08-12,0.067,0.06141,0.07,0.07,0.07,13400,BTCUSD=X
2010-08-13,0.07,0.0645,0.068,0.0645,0.0645,23300,BTCUSD=X
2010-08-16,0.06529,0.062,0.0679,0.0655,0.0655,69600,BTCUSD=X
2010-08-17,0.0655,0.06243,0.0769,0.07,0.07,91500,BTCUSD=X
2010-08-18,0.07,0.067,0.0733,0.068,0.068,20300,BTCUSD=X
2010-08-19,0.068,0.0667,0.0679,0.0667,0.0667,5000,BTCUSD=X
2010-08-20,0.0667,0.065,0.0667,0.0655,0.0655,27600,BTCUSD=X
2010-08-23,0.066,0.063,0.06689,0.06491,0.06491,28100,BTCUSD=X
2010-08-24,0.06491,0.06491,0.0665,0.065,0.065,44400,BTCUSD=X
2010-08-25,0.065,0.0641,0.0665,0.0648,0.0648,27800,BTCUSD=X
2010-08-26,0.0648,0.064,0.0658,0.064,0.064,25100,BTCUSD=X
2010-08-27,0.064,0.063,0.065,0.065,0.065,58300,BTCUSD=X
2010-08-30,0.064,0.03211,0.069,0.06497,0.06497,213500,BTCUSD=X
2010-08-31,0.06497,0.06,0.0649,0.06,0.06,93300,BTCUSD=X
2010-09-01,0.06,0.05961,0.0629,0.0629,0.0629,43600,BTCUSD=X
2010-09-02,0.0629,0.0601,0.0634,0.0634,0.0634,49800,BTCUSD=X
2010-09-03,0.0634,0.06085,0.063,0.06085,0.06085,5400,BTCUSD=X
2010-09-06,0.0616,0.0616,0.0627,0.0616,0.0616,5600,BTCUSD=X
2010-09-07,0.0616,0.0603,0.06201,0.061,0.061,21200,BTCUSD=X
2010-09-08,0.061,0.06099,0.062,0.062,0.062,14300,BTCUSD=X
2010-09-09,0.062,0.06109,0.0624,0.06111,0.06111,10700,BTCUSD=X
2010-09-10,0.06111,0.06014,0.0618,0.0618,0.0618,30100,BTCUSD=X
2010-09-13,0.0615,0.0607,0.064,0.06219,0.06219,63200,BTCUSD=X
2010-09-14,0.06219,0.061,0.175,0.06199,0.06199,87600,BTCUSD=X
2010-09-15,0.06199,0.0604,0.0625,0.0604,0.0604,22300,BTCUSD=X
2010-09-16,0.0604,0.0618,0.0619,0.0619,0.0619,4500,BTCUSD=X
2010-09-17,0.0619,0.059,0.0609,0.059,0.059,43800,BTCUSD=X
2010-09-20,0.0627,0.062,0.0634,0.0621,0.0621,89100,BTCUSD=X
2010-09-21,0.0621,0.0623,0.0633,0.06265,0.06265,35900,BTCUSD=X
2010-09-22,0.06265,0.06147,0.0624,0.0622,0.0622,71700,BTCUSD=X
2010-09-23,0.0622,0.0615,0.063,0.06231,0.06231,97000,BTCUSD=X
2010-09-24,0.06231,0.06209,0.0624,0.0622,0.0622,4200,BTCUSD=X
