Date,Close,Ticker
Dec-31-1969,100,MSCI Europe
Jan-07-1970,100.48,MSCI Europe
Jan-14-1970,101.2,MSCI Europe
Jan-21-1970,100.37,MSCI Europe
Jan-28-1970,99.91,MSCI Europe
Jan-30-1970,98.93,MSCI Europe
Feb-04-1970,98.74,MSCI Europe
Feb-11-1970,97.93,MSCI Europe
Feb-18-1970,97.28,MSCI Europe
Feb-25-1970,96.42,MSCI Europe
Feb-27-1970,95.66,MSCI Europe
Mar-04-1970,95.74,MSCI Europe
Mar-11-1970,96.17,MSCI Europe
Mar-18-1970,95.85,MSCI Europe
Mar-25-1970,95.5,MSCI Europe
Mar-31-1970,96.66,MSCI Europe
Apr-01-1970,96.34,MSCI Europe
Apr-08-1970,95.96,MSCI Europe
Apr-15-1970,95.95,MSCI Europe
Apr-22-1970,94.11,MSCI Europe
Apr-29-1970,89.07,MSCI Europe
Apr-30-1970,89.35,MSCI Europe
May-06-1970,89.8,MSCI Europe
May-13-1970,87.6,MSCI Europe
May-20-1970,83.53,MSCI Europe
May-25-1970,79.86,MSCI Europe
May-29-1970,84.36,MSCI Europe
Jun-03-1970,85.73,MSCI Europe
Jun-10-1970,84.29,MSCI Europe
Jun-17-1970,84.52,MSCI Europe
Jun-24-1970,85,MSCI Europe
Jun-30-1970,85.14,MSCI Europe
Jul-01-1970,85,MSCI Europe
Jul-08-1970,84.1,MSCI Europe
Jul-15-1970,84.32,MSCI Europe
Jul-22-1970,85.39,MSCI Europe
Jul-29-1970,88.11,MSCI Europe
Jul-31-1970,88.97,MSCI Europe
Aug-05-1970,89.05,MSCI Europe
Aug-12-1970,88.79,MSCI Europe
Aug-19-1970,88.78,MSCI Europe
Aug-26-1970,89.9,MSCI Europe
Aug-31-1970,89.42,MSCI Europe
Sep-02-1970,88.4,MSCI Europe
Sep-09-1970,88.58,MSCI Europe
Sep-16-1970,87.51,MSCI Europe
Sep-23-1970,89.08,MSCI Europe
Sep-30-1970,90.18,MSCI Europe
Oct-07-1970,91.76,MSCI Europe
Oct-14-1970,90.8,MSCI Europe
Oct-21-1970,91.54,MSCI Europe
Oct-28-1970,90.6,MSCI Europe
Oct-30-1970,89.5,MSCI Europe
Nov-04-1970,89.57,MSCI Europe
Nov-11-1970,87.63,MSCI Europe
