Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,28.58,28.610001,28.450001,28.52,18.817513,13870400
2010-01-05,28.424999,28.495001,28.07,28.174999,18.589882,23172400
2010-01-06,28.174999,28.219999,27.99,28.165001,18.583282,19264600
2010-01-07,28.165001,28.184999,27.875,28.094999,18.537094,13234600
2010-01-08,27.73,27.82,27.375,27.575001,18.194,28712400
2010-01-11,27.575001,28.225,27.4,28.135,18.56349,28642400
2010-01-12,28.045,28.5,28.030001,28.440001,18.764723,23269800
2010-01-13,28.43,28.715,28.344999,28.514999,18.814211,15157400
2010-01-14,28.52,28.625,28.385,28.565001,18.8472,12392600
2010-01-15,28.475,28.674999,28.02,28.145,18.570086,27460800
2010-01-19,28.110001,28.245001,27.959999,28.209999,18.612968,14615400
2010-01-20,28.08,28.195,27.645,27.75,18.309465,18810200
2010-01-21,27.775,27.790001,27.094999,27.184999,17.936676,27396800
2010-01-22,27.174999,27.43,26.99,27.120001,17.893787,23551400
2010-01-25,27.245001,27.27,26.940001,27.174999,17.930079,16853200
2010-01-26,27.035,27.25,26.934999,27.07,17.860806,15515000
2010-01-27,27,27.33,26.85,27.254999,17.982861,20414800
2010-01-28,27.355,27.42,27.065001,27.09,17.873995,20905200
2010-01-29,27.219999,27.469999,26.950001,27.125,17.897085,22146800
2010-02-01,27.254999,27.280001,27,27.190001,17.93998,14517600
2010-02-02,27.264999,27.605,27.075001,27.525,18.161005,16888600
2010-02-03,27.459999,27.48,27.264999,27.434999,18.101629,15899400
2010-02-04,27.275,27.34,26.700001,26.715,17.626575,21342800
2010-02-05,26.620001,26.715,26.264999,26.545,17.514406,29285000
2010-02-08,26.635,26.635,26.285,26.325001,17.369244,16721200
2010-02-09,26.844999,27.49,26.684999,27.004999,17.817909,31495000
2010-02-10,27.299999,27.299999,26.584999,26.895,17.745335,18717600
2010-02-11,26.799999,27.165001,26.635,27.110001,17.88719,26327200
2010-02-12,26.959999,27.200001,26.809999,26.99,17.80802,24640000
2010-02-16,27.254999,27.41,26.965,27.41,18.085131,19339400
2010-02-17,27.405001,27.775,27.379999,27.665001,18.253382,17064600
2010-02-18,27.575001,27.959999,27.575001,27.955,18.444721,17264600
2010-02-19,27.9,27.950001,27.59,27.860001,18.382042,18944800
2010-02-22,27.9,27.93,27.635,27.690001,18.269876,13487600
2010-02-23,27.705,27.799999,27.395,27.415001,18.088428,14835600
2010-02-24,27.5,27.59,27.344999,27.58,18.197302,14470600
2010-02-25,26.57,26.790001,26.305,26.559999,17.524302,63648600
2010-02-26,26.545,26.545,26.115,26.360001,17.392342,63095400
2010-03-01,26.610001,26.684999,26.395,26.635,17.573786,39449800
2010-03-02,26.690001,26.844999,26.575001,26.65,17.583683,24506200
2010-03-03,26.65,27.059999,26.59,26.965,17.791525,26574200
2010-03-04,27.35,27.52,27.16,27.235001,17.969667,28983200
2010-03-05,27.344999,27.475,27.18,27.35,18.04554,24238600
2010-03-08,27.360001,27.434999,27.16,27.23,17.966368,18915600
2010-03-09,27.17,27.295,26.975,27.09,17.873995,23070000
2010-03-10,27.129999,27.184999,27.02,27.1,17.880596,21574800
2010-03-11,26.889999,26.889999,26.5,26.799999,17.974491,29130600
2010-03-12,26.844999,26.885,26.629999,26.674999,17.890654,22334400
2010-03-15,26.865,26.92,26.684999,26.825001,17.991261,23874000
2010-03-16,26.9,26.934999,26.785,26.85,18.008022,22287800
2010-03-17,26.91,26.995001,26.799999,26.92,18.054974,26074400
2010-03-18,26.950001,27.02,26.870001,26.975,18.091856,23496200
2010-03-19,27.375,27.530001,26.799999,27.375,18.360138,43610800
2010-03-22,27.245001,27.424999,27.200001,27.27,18.289715,18127400
2010-03-23,27.355,27.67,27.205,27.65,18.544575,19081200
2010-03-24,27.610001,27.68,27.305,27.309999,18.316538,17052600
2010-03-25,27.455,27.59,27.325001,27.4,18.376909,16638800
2010-03-26,27.395,27.485001,27.25,27.325001,18.326607,16276800
2010-03-29,27.4,27.48,27.334999,27.385,18.366844,13853600
2010-03-30,27.450001,27.525,27.305,27.434999,18.400383,13631600
2010-03-31,27.395,27.645,27.25,27.5,18.443974,22922000
2010-04-01,27.68,27.715,27.565001,27.65,18.544575,14346000
2010-04-05,27.780001,27.780001,27.325001,27.43,18.397026,19191800
2010-04-06,27.42,27.42,27.110001,27.145,18.205881,17604200
2010-04-07,27.15,27.15,26.780001,26.91,18.048264,24060800
2010-04-08,26.889999,26.889999,26.719999,26.879999,18.028149,19466800
2010-04-09,26.955,27.305,26.924999,27.295,18.30648,20640600
2010-04-12,27.325001,27.43,27.254999,27.379999,18.363491,16930400
2010-04-13,27.34,27.540001,27.325001,27.51,18.450686,15055000
2010-04-14,27.514999,27.530001,27.325001,27.475,18.427204,13865200
2010-04-15,27.379999,27.385,27.065001,27.129999,18.195816,20351000
2010-04-16,27.115,27.57,27.084999,27.485001,18.433912,35075600
2010-04-19,27.49,27.66,27.459999,27.66,18.551285,26468600
2010-04-20,27.610001,27.645,27.16,27.235001,18.266233,32508800
2010-04-21,27.285,27.290001,27,27.094999,18.17234,19263200
2010-04-22,27.07,27.254999,27,27.155001,18.212587,20295600
2010-04-23,27.23,27.23,26.870001,26.940001,18.068388,21675400
2010-04-26,27,27.174999,26.865,26.865,18.01808,17890800
2010-04-27,26.83,26.93,26.42,26.434999,17.729689,27600400
2010-04-28,26.504999,26.785,26.280001,26.68,17.894009,24754600
2010-04-29,26.809999,27.094999,26.780001,26.870001,18.021441,17437600
2010-04-30,26.809999,26.98,26.700001,26.725,17.924196,19349600
2010-05-03,26.855,26.975,26.635,26.879999,18.028149,16123400
2010-05-04,26.695,26.9,26.525,26.59,17.833649,23282800
2010-05-05,26.715,26.950001,26.6,26.83,17.994614,23670400
2010-05-06,26.834999,27.1,25.605,26.15,17.538548,47912000
2010-05-07,26.094999,26.42,25.77,26.334999,17.662619,43535600
2010-05-10,26.924999,27.045,26.625,27.02,18.122042,35311400
2010-05-11,26.809999,27.035,26.75,26.805,17.977839,23165200
2010-05-12,26.9,27.049999,26.709999,27.01,18.11533,24005400
2010-05-13,26.975,27,26.725,26.745001,17.937605,19319800
2010-05-14,26.68,26.825001,26.43,26.67,17.887306,25868200
2010-05-17,26.74,26.775,26.424999,26.705,17.910774,17393400
2010-05-18,26.85,26.860001,26.540001,26.549999,17.80682,20435600
2010-05-19,26.5,26.674999,26.23,26.559999,17.813526,21119200
2010-05-20,26.25,26.25,25.764999,25.77,17.283682,29290400
2010-05-21,25.42,25.860001,25.15,25.795,17.300444,34233400
2010-05-24,25.605,25.934999,25.51,25.73,17.256851,16832600
2010-05-25,25.184999,25.365,24.969999,25.309999,16.975159,28693800
2010-05-26,25.415001,25.440001,24.969999,25.040001,16.794077,32607800
2010-05-27,25.305,25.625,25.129999,25.615,17.179722,22663600
2010-05-28,25.59,25.975,25.5,25.700001,17.236731,23577000
2010-06-01,25.559999,26.055,25.365,25.645,17.199844,24274800
2010-06-02,25.77,26.205,25.584999,26.205,17.57543,18742200
2010-06-03,26.334999,26.5,26.225,26.375,17.689445,23564400
2010-06-04,26.07,26.07,25.51,25.635,17.193138,23942800
2010-06-07,25.615,25.75,25.385,25.4,17.035528,20177800
2010-06-08,25.395,25.91,25.26,25.780001,17.290382,22429800
2010-06-09,25.780001,25.924999,25.584999,25.674999,17.219965,17645800
2010-06-10,25.93,26.25,25.93,26.225,17.588848,18790000
2010-06-11,25.855,25.865,25.565001,25.825001,17.616129,14946000
2010-06-14,25.969999,25.985001,25.73,25.754999,17.568378,13656400
2010-06-15,25.915001,26.1,25.780001,26.09,17.796896,16368600
2010-06-16,25.915001,26.219999,25.885,26.200001,17.871927,16784800
2010-06-17,26.25,26.35,26.02,26.18,17.858288,20740200
2010-06-18,26.195,26.365,26.129999,26.155001,17.841234,28405800
2010-06-21,26.41,26.49,26.135,26.24,17.899216,18346400
2010-06-22,26.23,26.540001,26.215,26.23,17.892391,20805000
2010-06-23,26.280001,26.325001,26.004999,26.120001,17.81736,20718000
2010-06-24,26.055,26.24,25.834999,25.9,17.667292,17401400
2010-06-25,25.895,25.965,25.129999,25.129999,17.142042,57969600
2010-06-28,25.365,25.690001,25.305,25.540001,17.421719,23525400
2010-06-29,25.290001,25.475,25.049999,25.165001,17.165922,23502600
2010-06-30,25.190001,25.290001,25.004999,25.059999,17.094294,21933800
2010-07-01,25.15,25.15,24.735001,25.014999,17.063599,26030800
2010-07-02,25.110001,25.23,24.924999,25.025,17.070417,16270200
2010-07-06,25.295,25.34,25.01,25.215,17.200026,18338200
2010-07-07,25.27,25.795,25.15,25.735001,17.554741,23480000
2010-07-08,25.84,26.219999,25.780001,26.209999,17.878752,21562600
2010-07-09,26.18,26.245001,26.035,26.200001,17.871927,12948000
2010-07-12,26.08,26.235001,25.975,26.225,17.88899,10770600
2010-07-13,26.370001,26.475,26.299999,26.360001,17.98107,13706400
2010-07-14,26.280001,26.459999,26.209999,26.41,18.015181,12392600
2010-07-15,26.360001,26.475,26.16,26.424999,18.02541,14970600
2010-07-16,26.385,26.540001,26.105,26.184999,17.861696,19563800
2010-07-19,26.27,26.285,26.025,26.135,17.827587,11367400
2010-07-20,25.985001,26.68,25.959999,26.620001,18.158432,19539000
2010-07-21,26.75,27.395,26.639999,27.040001,18.444921,36364000
2010-07-22,27.004999,27.34,26.985001,27.129999,18.506315,20692000
2010-07-23,27.1,27.415001,26.98,27.375,18.673439,16177400
2010-07-26,27.415001,27.49,27.35,27.469999,18.738237,13305800
2010-07-27,27.455,27.625,27.41,27.525,18.775761,17905400
2010-07-28,27.525,27.6,27.385,27.440001,18.717775,12954800
2010-07-29,27.540001,27.655001,27.33,27.495001,18.755293,18292600
2010-07-30,27.355,27.645,27.215,27.555,18.796225,16672600
2010-08-02,27.91,28.245001,27.825001,28.205,19.239611,32091200
2010-08-03,28.135,28.264999,28.030001,28.190001,19.229376,15427400
2010-08-04,28.26,28.35,28.105,28.275,19.287355,11974400
2010-08-05,28.205,28.209999,27.9,28.184999,19.225965,15099800
2010-08-06,28.049999,28.395,27.825001,28.375,19.355576,18090600
2010-08-09,28.184999,28.700001,28.18,28.555,19.478355,18731000
2010-08-10,28.32,28.700001,28.26,28.49,19.434011,15376000
2010-08-11,28.120001,28.375,27.99,28.02,19.113419,24302000
2010-08-12,27.764999,27.934999,27.674999,27.844999,18.994045,18782800
2010-08-13,27.82,27.99,27.684999,27.865,19.007681,14906800
2010-08-16,27.754999,27.965,27.559999,27.940001,19.05884,13958400
2010-08-17,28.01,28.209999,27.75,28.059999,19.140696,18060600
2010-08-18,28.055,28.059999,27.805,27.92,19.045202,16616800
2010-08-19,27.865,27.865,27.485001,27.639999,18.854204,18781400
