Dates,MSCI Europe Index (^MXEU) - Index Value
Dec-31-1969,100.00
Jan-07-1970,100.48
Jan-14-1970,101.20
Jan-21-1970,100.37
Jan-28-1970,99.91
Jan-30-1970,98.93
Feb-04-1970,98.74
Feb-11-1970,97.93
Feb-18-1970,97.28
Feb-25-1970,96.42
Feb-27-1970,95.66
Mar-04-1970,95.74
Mar-11-1970,96.17
Mar-18-1970,95.85
Mar-25-1970,95.50
Mar-31-1970,96.66
Apr-01-1970,96.34
Apr-08-1970,95.96
Apr-15-1970,95.95
Apr-22-1970,94.11
Apr-29-1970,89.07
Apr-30-1970,89.35
May-06-1970,89.80
May-13-1970,87.60
May-20-1970,83.53
May-25-1970,79.86
May-29-1970,84.36
Jun-03-1970,85.73
Jun-10-1970,84.29
Jun-17-1970,84.52
Jun-24-1970,85.00
Jun-30-1970,85.14
Jul-01-1970,85.00
Jul-08-1970,84.10
Jul-15-1970,84.32
Jul-22-1970,85.39
Jul-29-1970,88.11
Jul-31-1970,88.97
Aug-05-1970,89.05
Aug-12-1970,88.79
Aug-19-1970,88.78
Aug-26-1970,89.90
Aug-31-1970,89.42
Sep-02-1970,88.40
Sep-09-1970,88.58
Sep-16-1970,87.51
Sep-23-1970,89.08
Sep-30-1970,90.18
Oct-07-1970,91.76
Oct-14-1970,90.80
Oct-21-1970,91.54
Oct-28-1970,90.60
Oct-30-1970,89.50
Nov-04-1970,89.57
Nov-11-1970,87.63
Nov-18-1970,86.46
Nov-25-1970,85.50
Nov-30-1970,85.18
Dec-02-1970,85.97
Dec-09-1970,85.31
Dec-16-1970,86.53
Dec-23-1970,86.62
Dec-30-1970,87.21
Dec-31-1970,86.95
Jan-06-1971,87.31
Jan-13-1971,88.19
Jan-20-1971,88.20
Jan-27-1971,90.06
Jan-29-1971,90.43
Feb-03-1971,89.94
Feb-10-1971,89.14
Feb-17-1971,92.29
Feb-24-1971,91.13
Feb-26-1971,90.48
Mar-03-1971,90.00
Mar-10-1971,91.35
Mar-17-1971,91.11
Mar-24-1971,91.55
