Dates,Russell 2000 Index (^RUT) - Index Value
Jan-04-2010,640.10
Jan-05-2010,638.49
Jan-06-2010,637.95
Jan-07-2010,641.97
Jan-08-2010,644.56
Jan-11-2010,643.99
Jan-12-2010,635.50
Jan-13-2010,643.56
Jan-14-2010,646.43
Jan-15-2010,637.96
Jan-19-2010,649.15
Jan-20-2010,639.61
Jan-21-2010,628.36
Jan-22-2010,617.12
Jan-25-2010,618.11
Jan-26-2010,612.16
Jan-27-2010,618.38
Jan-28-2010,607.93
Jan-29-2010,602.04
Feb-01-2010,609.25
Feb-02-2010,614.05
Feb-03-2010,610.66
Feb-04-2010,589.68
Feb-05-2010,592.98
Feb-08-2010,586.49
Feb-09-2010,595.17
Feb-10-2010,595.82
Feb-11-2010,605.46
Feb-12-2010,610.72
Feb-16-2010,620.84
Feb-17-2010,624.83
Feb-18-2010,629.32
Feb-19-2010,631.62
Feb-22-2010,632.25
Feb-23-2010,625.07
Feb-24-2010,630.43
Feb-25-2010,630.46
Feb-26-2010,628.56
Mar-01-2010,642.65
Mar-02-2010,648.31
Mar-03-2010,649.26
Mar-04-2010,652.47
Mar-05-2010,666.02
Mar-08-2010,667.11
Mar-09-2010,669.63
Mar-10-2010,674.93
Mar-11-2010,677.22
Mar-12-2010,676.59
Mar-15-2010,674.41
Mar-16-2010,679.58
Mar-17-2010,683.98
Mar-18-2010,681.61
Mar-19-2010,673.89
Mar-22-2010,682.91
Mar-23-2010,690.30
Mar-24-2010,683.68
Mar-25-2010,679.10
Mar-26-2010,678.97
Mar-29-2010,682.25
Mar-30-2010,683.94
Mar-31-2010,678.64
Apr-01-2010,683.98
Apr-05-2010,697.65
Apr-06-2010,701.48
Apr-07-2010,699.46
Apr-08-2010,699.64
Apr-09-2010,702.95
Apr-12-2010,705.06
Apr-13-2010,707.03
Apr-14-2010,722.40
Apr-15-2010,724.21
Apr-16-2010,714.62
Apr-19-2010,711.40
Apr-20-2010,721.55
Apr-21-2010,726.19
Apr-22-2010,734.31
Apr-23-2010,741.92
Apr-26-2010,738.86
Apr-27-2010,721.27
Apr-28-2010,722.39
Apr-29-2010,737.74
Apr-30-2010,716.60
May-03-2010,732.82
May-04-2010,709.70
May-05-2010,698.58
May-06-2010,672.23
May-07-2010,653.00
May-10-2010,689.61
May-11-2010,695.48
May-12-2010,716.11
May-13-2010,709.85
May-14-2010,693.98
May-17-2010,695.71
May-18-2010,682.75
May-19-2010,674.40
May-20-2010,640.04
May-21-2010,649.29
May-24-2010,641.21
May-25-2010,640.02
May-26-2010,642.62
May-27-2010,670.51
May-28-2010,661.61
Jun-01-2010,640.96
Jun-02-2010,660.52
Jun-03-2010,667.37
Jun-04-2010,633.97
Jun-07-2010,618.49
Jun-08-2010,617.69
Jun-09-2010,618.29
Jun-10-2010,639.79
Jun-11-2010,649.00
Jun-14-2010,652.27
Jun-15-2010,668.77
Jun-16-2010,666.13
Jun-17-2010,665.85
Jun-18-2010,666.92
Jun-21-2010,660.03
Jun-22-2010,645.91
Jun-23-2010,644.25
Jun-24-2010,633.17
Jun-25-2010,645.11
Jun-28-2010,641.54
Jun-29-2010,615.96
Jun-30-2010,609.49
Jul-01-2010,604.76
Jul-02-2010,598.97
Jul-06-2010,590.03
Jul-07-2010,611.66
Jul-08-2010,620.27
Jul-09-2010,629.43
Jul-12-2010,621.61
Jul-13-2010,642.82
Jul-14-2010,640.16
Jul-15-2010,634.62
Jul-16-2010,610.39
Jul-19-2010,613.08
Jul-20-2010,624.24
Jul-21-2010,612.64
Jul-22-2010,635.48
Jul-23-2010,650.65
Jul-26-2010,665.22
Jul-27-2010,662.17
Jul-28-2010,650.76
Jul-29-2010,650.43
Jul-30-2010,650.89
Aug-02-2010,661.86
Aug-03-2010,655.66
Aug-04-2010,662.96
Aug-05-2010,655.07
Aug-06-2010,650.68
Aug-09-2010,659.52
Aug-10-2010,646.36
Aug-11-2010,620.39
Aug-12-2010,616.98
Aug-13-2010,609.49
Aug-16-2010,615.10
Aug-17-2010,626.30
Aug-18-2010,628.04
Aug-19-2010,610.96
Aug-20-2010,610.78
Aug-23-2010,602.67
Aug-24-2010,595.59
Aug-25-2010,604.87
Aug-26-2010,599.76
Aug-27-2010,616.76
Aug-30-2010,601.72
Aug-31-2010,602.06
Sep-01-2010,624.99
Sep-02-2010,632.26
Sep-03-2010,643.36
Sep-07-2010,629.29
Sep-08-2010,634.25
Sep-09-2010,634.62
Sep-10-2010,636.46
Sep-13-2010,652.28
Sep-14-2010,649.23
Sep-15-2010,652.51
Sep-16-2010,647.81
Sep-17-2010,651.44
Sep-20-2010,669.98
Sep-21-2010,664.66
Sep-22-2010,656.71
Sep-23-2010,648.84
Sep-24-2010,671.01
Sep-27-2010,668.29
Sep-28-2010,675.43
Sep-29-2010,677.64
Sep-30-2010,676.14
Oct-01-2010,679.29
Oct-04-2010,669.45
Oct-05-2010,689.35
Oct-06-2010,685.33
Oct-07-2010,684.23
Oct-08-2010,693.82
Oct-11-2010,693.46
Oct-12-2010,696.04
Oct-13-2010,706.47
Oct-14-2010,704.69
Oct-15-2010,703.16
Oct-18-2010,710.13
Oct-19-2010,694.15
Oct-20-2010,702.11
Oct-21-2010,698.12
Oct-22-2010,703.43
Oct-25-2010,707.89
Oct-26-2010,706.93
Oct-27-2010,704.23
Oct-28-2010,701.03
Oct-29-2010,703.35
Nov-01-2010,698.56
Nov-02-2010,712.89
Nov-03-2010,715.14
Nov-04-2010,733.46
Nov-05-2010,736.59
Nov-08-2010,736.77
Nov-09-2010,725.98
Nov-10-2010,734.87
Nov-11-2010,731.58
Nov-12-2010,719.27
Nov-15-2010,719.94
Nov-16-2010,705.34
Nov-17-2010,707.77
Nov-18-2010,720.84
Nov-19-2010,724.36
Nov-22-2010,727.33
Nov-23-2010,719.93
Nov-24-2010,736.53
Nov-26-2010,732.73
Nov-29-2010,731.95
Nov-30-2010,727.01
Dec-01-2010,743.14
Dec-02-2010,751.20
Dec-03-2010,756.42
Dec-06-2010,760.86
Dec-07-2010,764.42
Dec-08-2010,764.04
Dec-09-2010,767.63
Dec-10-2010,776.83
Dec-13-2010,772.10
Dec-14-2010,771.66
Dec-15-2010,768.36
Dec-16-2010,776.56
Dec-17-2010,779.51
Dec-20-2010,782.30
Dec-21-2010,790.52
Dec-22-2010,790.59
Dec-23-2010,788.96
Dec-27-2010,792.35
Dec-28-2010,789.46
Dec-29-2010,790.26
Dec-30-2010,789.74
Dec-31-2010,783.65
Jan-03-2011,798.56
Jan-04-2011,785.83
Jan-05-2011,795.09
Jan-06-2011,791.42
Jan-07-2011,787.83
Jan-10-2011,791.58
Jan-11-2011,794.76
Jan-12-2011,801.36
Jan-13-2011,800.65
Jan-14-2011,807.57
Jan-18-2011,807.56
Jan-19-2011,786.89
Jan-20-2011,778.08
Jan-21-2011,773.18
Jan-24-2011,779.28
Jan-25-2011,779.96
Jan-26-2011,793.72
Jan-27-2011,795.43
Jan-28-2011,775.40
Jan-31-2011,781.25
Feb-01-2011,798.89
Feb-02-2011,796.16
Feb-03-2011,798.63
Feb-04-2011,800.11
Feb-07-2011,808.32
Feb-08-2011,813.69
Feb-09-2011,809.27
Feb-10-2011,812.70
Feb-11-2011,822.11
Feb-14-2011,825.90
Feb-15-2011,820.03
Feb-16-2011,828.37
Feb-17-2011,834.02
Feb-18-2011,834.82
Feb-22-2011,812.96
Feb-23-2011,799.65
Feb-24-2011,804.18
Feb-25-2011,821.95
Feb-28-2011,823.45
Mar-01-2011,807.08
Mar-02-2011,810.90
Mar-03-2011,828.89
Mar-04-2011,824.99
Mar-07-2011,812.25
Mar-08-2011,824.66
Mar-09-2011,821.19
Mar-10-2011,799.53
Mar-11-2011,802.83
Mar-14-2011,798.17
Mar-15-2011,791.33
Mar-16-2011,781.90
Mar-17-2011,785.52
Mar-18-2011,794.66
Mar-21-2011,813.02
Mar-22-2011,808.66
Mar-23-2011,811.24
Mar-24-2011,817.10
Mar-25-2011,823.85
Mar-28-2011,821.77
Mar-29-2011,829.49
Mar-30-2011,840.37
Mar-31-2011,843.55
Apr-01-2011,846.77
Apr-04-2011,849.36
Apr-05-2011,853.31
Apr-06-2011,854.17
Apr-07-2011,849.44
Apr-08-2011,840.89
Apr-11-2011,833.86
Apr-12-2011,822.27
Apr-13-2011,823.92
Apr-14-2011,827.47
Apr-15-2011,834.98
Apr-18-2011,821.51
Apr-19-2011,823.01
Apr-20-2011,839.45
Apr-21-2011,845.64
Apr-25-2011,844.23
Apr-26-2011,853.04
Apr-27-2011,858.31
Apr-28-2011,861.55
Apr-29-2011,865.29
May-02-2011,854.77
May-03-2011,843.77
May-04-2011,832.90
May-05-2011,829.24
May-06-2011,833.34
May-09-2011,842.80
May-10-2011,855.91
May-11-2011,840.66
May-12-2011,847.53
May-13-2011,835.67
May-16-2011,822.91
May-17-2011,820.36
May-18-2011,833.45
May-19-2011,835.16
May-20-2011,829.06
May-23-2011,814.04
May-24-2011,810.33
May-25-2011,820.87
May-26-2011,830.87
May-27-2011,836.26
May-31-2011,848.30
Jun-01-2011,821.40
Jun-02-2011,820.69
Jun-03-2011,808.13
Jun-06-2011,795.32
Jun-07-2011,797.55
Jun-08-2011,788.04
Jun-09-2011,792.64
Jun-10-2011,779.54
Jun-13-2011,777.20
Jun-14-2011,793.99
Jun-15-2011,779.46
Jun-16-2011,781.54
Jun-17-2011,781.75
Jun-20-2011,788.48
Jun-21-2011,806.37
Jun-22-2011,799.87
Jun-23-2011,802.68
Jun-24-2011,797.79
Jun-27-2011,805.14
Jun-28-2011,817.31
Jun-29-2011,819.92
Jun-30-2011,827.43
Jul-01-2011,840.04
Jul-05-2011,841.62
Jul-06-2011,845.23
Jul-07-2011,858.11
Jul-08-2011,852.57
Jul-11-2011,833.54
Jul-12-2011,829.77
Jul-13-2011,836.98
Jul-14-2011,823.32
Jul-15-2011,828.78
Jul-18-2011,815.97
Jul-19-2011,834.62
Jul-20-2011,832.34
Jul-21-2011,841.26
Jul-22-2011,841.82
Jul-25-2011,831.40
Jul-26-2011,824.83
Jul-27-2011,800.53
Jul-28-2011,799.34
Jul-29-2011,797.03
Aug-01-2011,792.85
Aug-02-2011,767.00
Aug-03-2011,772.78
Aug-04-2011,726.80
Aug-05-2011,714.63
Aug-08-2011,650.96
Aug-09-2011,696.16
Aug-10-2011,660.21
Aug-11-2011,695.89
Aug-12-2011,697.50
Aug-15-2011,718.63
Aug-16-2011,704.76
Aug-17-2011,704.03
Aug-18-2011,662.51
Aug-19-2011,651.70
Aug-22-2011,651.34
Aug-23-2011,683.07
Aug-24-2011,692.57
Aug-25-2011,674.42
Aug-26-2011,691.79
Aug-29-2011,724.65
Aug-30-2011,728.08
Aug-31-2011,726.81
Sep-01-2011,708.92
Sep-02-2011,683.36
Sep-06-2011,680.87
Sep-07-2011,709.47
Sep-08-2011,694.92
Sep-09-2011,673.96
Sep-12-2011,679.76
Sep-13-2011,691.74
Sep-14-2011,704.12
Sep-15-2011,713.51
Sep-16-2011,714.31
Sep-19-2011,702.23
Sep-20-2011,689.95
Sep-21-2011,664.58
Sep-22-2011,643.42
Sep-23-2011,652.43
Sep-26-2011,665.62
Sep-27-2011,680.23
Sep-28-2011,651.97
Sep-29-2011,662.80
Sep-30-2011,644.16
Oct-03-2011,609.49
Oct-04-2011,648.64
Oct-05-2011,658.11
Oct-06-2011,673.80
Oct-07-2011,656.21
Oct-10-2011,684.90
Oct-11-2011,688.97
Oct-12-2011,700.38
Oct-13-2011,698.82
Oct-14-2011,712.46
Oct-17-2011,688.60
Oct-18-2011,709.34
Oct-19-2011,694.37
Oct-20-2011,696.42
Oct-21-2011,712.42
Oct-24-2011,736.03
Oct-25-2011,713.65
Oct-26-2011,727.15
Oct-27-2011,765.43
Oct-28-2011,761.00
Oct-31-2011,741.06
Nov-01-2011,713.89
Nov-02-2011,733.26
Nov-03-2011,751.53
Nov-04-2011,746.49
Nov-07-2011,745.27
Nov-08-2011,755.27
Nov-09-2011,718.86
Nov-10-2011,725.48
Nov-11-2011,744.64
Nov-14-2011,732.89
Nov-15-2011,743.08
Nov-16-2011,729.86
Nov-17-2011,718.75
Nov-18-2011,719.42
Nov-21-2011,701.90
Nov-22-2011,696.26
Nov-23-2011,674.34
Nov-25-2011,666.16
Nov-28-2011,697.90
Nov-29-2011,696.10
Nov-30-2011,737.42
Dec-01-2011,730.75
Dec-02-2011,735.02
Dec-05-2011,747.03
Dec-06-2011,746.78
Dec-07-2011,746.14
Dec-08-2011,722.68
Dec-09-2011,745.40
Dec-12-2011,733.15
Dec-13-2011,718.06
Dec-14-2011,708.46
Dec-15-2011,716.01
Dec-16-2011,722.05
Dec-19-2011,708.56
Dec-20-2011,738.22
Dec-21-2011,740.45
Dec-22-2011,745.51
Dec-23-2011,747.98
Dec-27-2011,751.31
Dec-28-2011,735.21
Dec-29-2011,744.98
Dec-30-2011,740.92
Jan-03-2012,752.28
Jan-04-2012,747.28
Jan-05-2012,752.29
Jan-06-2012,749.71
Jan-09-2012,753.51
Jan-10-2012,764.75
Jan-11-2012,767.24
Jan-12-2012,770.49
Jan-13-2012,764.20
Jan-17-2012,765.53
Jan-18-2012,779.26
Jan-19-2012,782.37
Jan-20-2012,784.62
Jan-23-2012,783.05
Jan-24-2012,788.27
Jan-25-2012,795.64
Jan-26-2012,792.91
Jan-27-2012,798.85
Jan-30-2012,792.38
Jan-31-2012,792.82
Feb-01-2012,809.66
Feb-02-2012,812.89
Feb-03-2012,831.11
Feb-06-2012,828.37
Feb-07-2012,827.37
Feb-08-2012,828.39
Feb-09-2012,824.99
Feb-10-2012,813.33
Feb-13-2012,824.81
Feb-14-2012,820.65
Feb-15-2012,813.98
Feb-16-2012,829.96
Feb-17-2012,828.68
Feb-21-2012,823.22
Feb-22-2012,816.50
Feb-23-2012,829.23
Feb-24-2012,826.92
Feb-27-2012,826.66
Feb-28-2012,823.80
Feb-29-2012,810.94
Mar-01-2012,815.22
Mar-02-2012,802.42
Mar-05-2012,803.65
Mar-06-2012,787.09
Mar-07-2012,795.95
Mar-08-2012,806.34
Mar-09-2012,817.00
Mar-12-2012,814.29
Mar-13-2012,831.23
Mar-14-2012,823.40
Mar-15-2012,831.46
