Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,16060,16180,16000,16180,5.854249,11950800
2010-01-05,16520,16580,16300,16440,5.948323,27925850
2010-01-06,16580,16820,16520,16820,6.085815,22948850
2010-01-07,16820,16820,16260,16260,5.883196,22107950
2010-01-08,16400,16420,16120,16420,5.941086,14777550
2010-01-11,16420,16460,15940,15940,5.767413,19896100
2010-01-12,15940,16180,15900,16180,5.854249,19218050
2010-01-13,16100,16120,15940,15940,5.767413,13375300
2010-01-14,16120,16620,16000,16540,5.984505,26551550
2010-01-15,16640,16860,16580,16840,6.093051,19905600
2010-01-18,16800,16920,16560,16860,6.100288,13060400
2010-01-19,17000,17000,16440,16460,5.955559,12041250
2010-01-20,16460,16740,16460,16680,6.03516,19200850
2010-01-21,16400,17000,16400,17000,6.150944,16990100
2010-01-22,16800,16900,16360,16500,5.970032,23460500
2010-01-25,16320,16960,16300,16840,6.093051,20578400
2010-01-26,16920,16920,16240,16300,5.897667,18722300
2010-01-27,16300,16340,16000,16000,5.789123,18516150
2010-01-28,16160,16300,16060,16160,5.847013,13795800
2010-01-29,16000,16020,15600,15680,5.673339,22854100
2010-02-01,15680,15700,15300,15540,5.622685,25037200
2010-02-02,15800,15800,15400,15440,5.586504,19677150
2010-02-03,15640,15700,15360,15540,5.622685,16467700
2010-02-04,15500,15660,15440,15520,5.615449,11971700
2010-02-05,15160,15220,14940,15000,5.427302,25705750
2010-02-08,14940,15080,14820,14960,5.41283,21891500
2010-02-09,14960,15220,14840,15220,5.506902,16834200
2010-02-10,15260,15280,15040,15100,5.463484,13174200
2010-02-11,15140,15300,15120,15260,5.521376,13208300
2010-02-12,15340,15340,14900,15000,5.427302,22879300
2010-02-16,15000,15180,14960,15120,5.470722,7723550
2010-02-17,15440,15580,15280,15580,5.637158,13997150
2010-02-18,15580,15620,15440,15500,5.608212,7251900
2010-02-19,15380,15540,15180,15200,5.499667,11094000
2010-02-22,15440,15560,15400,15460,5.593739,11580550
2010-02-23,15480,15480,15120,15340,5.550321,12568850
2010-02-24,15180,15220,15000,15040,5.441775,15052500
2010-02-25,15080,15160,14680,14720,5.325992,19273900
2010-02-26,14800,14960,14660,14880,5.383884,15576350
2010-03-02,15220,15480,15120,15400,5.572031,23494700
2010-03-03,15420,15460,15260,15420,5.579268,9713550
2010-03-04,15420,15440,15120,15220,5.506902,10205050
2010-03-05,15260,15500,15260,15500,5.608212,11754700
2010-03-08,15800,15840,15700,15720,5.687814,19563300
2010-03-09,15740,15740,15540,15720,5.687814,12211750
2010-03-10,15720,15740,15560,15680,5.673339,11367600
2010-03-11,15800,15880,15560,15560,5.62992,19631000
2010-03-12,15560,15680,15420,15560,5.62992,9997950
2010-03-15,15640,15660,15280,15360,5.557557,11156550
2010-03-16,15360,15400,15160,15300,5.535849,16548150
2010-03-17,15440,15960,15420,15960,5.774649,21840650
2010-03-18,15900,16140,15900,15940,5.767413,15393500
2010-03-19,16020,16140,15960,16080,5.818068,10711200
2010-03-22,16060,16080,15840,16020,5.79636,9191800
2010-03-23,16140,16300,16100,16180,5.854249,9923300
2010-03-24,16300,16500,16260,16380,5.926614,15926950
2010-03-25,16300,16440,16180,16380,5.926614,9481650
2010-03-26,16460,16500,16240,16400,5.933852,10481650
2010-03-29,16200,16500,16200,16360,5.919376,7756350
2010-03-30,16540,16580,16240,16280,5.890432,12042400
2010-03-31,16280,16680,16260,16360,5.919376,21699800
2010-04-01,16520,16900,16480,16900,6.11476,28068050
2010-04-02,16920,17200,16820,17140,6.201596,20907050
2010-04-05,17220,17400,17140,17400,6.295669,15201700
2010-04-06,17480,17500,17220,17380,6.288435,16494250
2010-04-07,17300,17380,17040,17180,6.21607,19418550
2010-04-08,17140,17260,17060,17260,6.245017,13447700
2010-04-09,17280,17320,16960,17120,6.19436,13757650
2010-04-12,17180,17200,16540,16600,6.006214,24897000
2010-04-13,16680,16680,16300,16560,5.991742,20446350
2010-04-14,16700,16940,16660,16900,6.11476,15369350
2010-04-15,17240,17240,16880,17100,6.187125,18248400
2010-04-16,17100,17160,16820,16960,6.136471,11003100
2010-04-19,16740,16800,16520,16540,5.984505,12357100
2010-04-20,16540,16640,16420,16560,5.991742,13571500
2010-04-21,16760,17060,16700,17040,6.165416,13200200
2010-04-22,16980,16980,16660,16820,6.085815,17161750
2010-04-23,16960,16960,16560,16600,6.006214,15442000
2010-04-26,16700,16840,16600,16680,6.03516,13009350
2010-04-27,16620,16760,16540,16700,6.042397,13040500
2010-04-28,16400,16500,16360,16500,5.970032,16007500
2010-04-29,16600,16620,16320,16500,5.970032,11337150
2010-04-30,16560,17040,16540,16980,6.143707,22710850
2010-05-03,16900,16900,16540,16580,5.998978,14553900
2010-05-04,16800,16860,16600,16680,6.03516,9138450
2010-05-06,16340,16380,16200,16280,5.890432,22570150
2010-05-07,15960,15980,15760,15880,5.745705,37887000
2010-05-10,16000,16100,15940,16060,5.810832,16435550
2010-05-11,16240,16240,15820,15820,5.723995,22498000
2010-05-12,15940,15960,15640,15780,5.709521,15759500
2010-05-13,15960,16400,15940,16260,5.883196,15900650
2010-05-14,16120,16240,15980,16200,5.861485,14674300
2010-05-17,15960,15980,15560,15680,5.673339,26460950
2010-05-18,15800,15900,15680,15840,5.731231,18143800
2010-05-19,15700,15700,15380,15460,5.593739,17987050
2010-05-20,15300,15440,15100,15120,5.470722,19772500
2010-05-24,14940,15280,14880,15160,5.485193,17704300
2010-05-25,15000,15120,14720,14820,5.362175,25489550
2010-05-26,15200,15380,14900,15000,5.427302,22943950
2010-05-27,14880,15500,14820,15440,5.586504,22173500
2010-05-28,15740,15740,15340,15560,5.62992,22448950
2010-05-31,15440,15620,15360,15520,5.615449,12774650
2010-06-01,15520,15580,15300,15360,5.557557,11382350
2010-06-03,15600,15680,15480,15540,5.622685,14649400
2010-06-04,15500,15940,15480,15860,5.738467,12598850
2010-06-07,15580,15740,15540,15740,5.695049,15161550
2010-06-08,15700,15960,15520,15700,5.680577,14499800
2010-06-09,15840,15840,15320,15400,5.572031,17914950
2010-06-10,15540,15600,15420,15460,5.593739,17769350
2010-06-11,15700,15940,15660,15940,5.767413,18283050
2010-06-14,15820,16180,15820,16140,5.839777,12094650
2010-06-15,16200,16200,15960,15960,5.774649,9528550
2010-06-16,16300,16440,16180,16380,5.926614,18823500
2010-06-17,16240,16340,16200,16340,5.912142,11648800
2010-06-18,16500,16500,16240,16440,5.948323,9579500
2010-06-21,16600,16780,16500,16600,6.006214,14230700
2010-06-22,16540,16540,16260,16320,5.904905,14794100
2010-06-23,16220,16220,16000,16100,5.825304,17489950
2010-06-24,16160,16460,16100,16400,5.933852,14152200
2010-06-25,16180,16200,16040,16100,5.825304,16982600
2010-06-28,16100,16160,15920,15920,5.760175,13026700
2010-06-29,16020,16080,15740,15840,8.355419,12560000
2010-06-30,15400,15600,15400,15480,8.165524,26708450
2010-07-01,15580,15600,15200,15320,8.081124,22206400
2010-07-02,15400,15480,15260,15340,8.091676,11641100
2010-07-05,15260,15400,15220,15340,8.091676,9995600
2010-07-06,15240,15500,15100,15500,8.176074,17879550
2010-07-07,15600,15620,15300,15380,8.112775,16180150
2010-07-08,15660,15680,15400,15500,8.176074,14752850
2010-07-09,15580,15920,15460,15920,8.397616,18605950
2010-07-12,15980,16040,15840,16040,8.460917,12597450
2010-07-13,15960,16160,15880,15920,8.397616,15339650
2010-07-14,16260,16560,16260,16480,8.693014,33184600
2010-07-15,16500,16500,16360,16400,8.650815,16063950
2010-07-16,16320,16400,16040,16040,8.460917,16933400
2010-07-19,15720,15980,15720,15900,8.38707,14586800
2010-07-20,15900,16040,15720,15960,8.418721,11578400
2010-07-21,16340,16360,16120,16340,8.619166,16558800
2010-07-22,16240,16340,16020,16160,8.524216,15439550
2010-07-23,16300,16340,16140,16220,8.55587,14112800
2010-07-26,16260,16400,16180,16360,8.629713,10617450
2010-07-27,16480,16600,16420,16580,8.745762,19088350
2010-07-28,16640,16800,16620,16740,8.830163,23248200
2010-07-29,16780,16800,16480,16540,8.724661,14865300
2010-07-30,16440,16540,16200,16200,8.545316,16399000
2010-08-02,16340,16360,16200,16200,8.545316,12455050
2010-08-03,16400,16440,16300,16300,8.598066,13105950
2010-08-04,16340,16360,16120,16120,8.503119,10616650
2010-08-05,16220,16360,16060,16080,8.482018,14028550
2010-08-06,16200,16200,15980,16020,8.45037,12296750
2010-08-09,15980,16040,15960,16040,8.460917,9138150
2010-08-10,16000,16080,15820,15860,8.36597,14060850
2010-08-11,15680,15780,15540,15580,8.218274,17957900
2010-08-12,15360,15540,15300,15320,8.081124,21360650
2010-08-13,15400,15640,15340,15620,8.239374,14274900
2010-08-16,15460,15660,15340,15640,8.249923,10280000
2010-08-17,15540,15660,15420,15640,8.249923,14476450
2010-08-18,15680,15700,15480,15560,8.207726,11715900
2010-08-19,15580,15780,15540,15780,8.323771,12179900
2010-08-20,15600,15720,15540,15680,8.271022,12330600
2010-08-23,15720,15820,15640,15800,8.334322,9081550
2010-08-24,15700,15720,15500,15660,8.260473,11365400
2010-08-25,15520,15560,15440,15440,8.144425,9263250
2010-08-26,15440,15660,15400,15460,8.154975,10440100
2010-08-27,15300,15440,15300,15320,8.081124,12748200
2010-08-30,15500,15560,15440,15520,8.186624,6984450
2010-08-31,15320,15440,15120,15120,7.97563,22051950
2010-09-01,15240,15260,15000,15040,7.93343,19451700
2010-09-02,15200,15240,14980,15180,8.007278,18271500
2010-09-03,15220,15280,15120,15220,8.028378,22082500
2010-09-06,15440,15600,15360,15600,8.228822,19708650
2010-09-07,15660,15800,15500,15760,8.313222,16036000
2010-09-08,15520,15620,15420,15420,8.133875,10954600
2010-09-09,15340,15480,15120,15120,7.97563,30825400
2010-09-10,15200,15440,15140,15320,8.081124,13989000
2010-09-13,15400,15520,15320,15400,8.123324,11741050
2010-09-14,15500,15620,15200,15200,8.01783,18559950
2010-09-15,15260,15340,15020,15140,7.986178,19441850
2010-09-16,15080,15260,15080,15140,7.986178,11734100
2010-09-17,15240,15560,15160,15460,8.154975,22369300
2010-09-20,15480,15600,15400,15600,8.228822,14807550
2010-09-24,15580,15600,15160,15240,8.038928,32766800
2010-09-27,15300,15360,15040,15100,7.965079,25107150
2010-09-28,15100,15120,14900,14900,7.859581,23315700
2010-09-29,15060,15500,15000,15440,8.144425,35348050
2010-09-30,15440,15580,15340,15540,8.197175,16855500
2010-10-01,15440,15560,15380,15540,8.197175,14805750
2010-10-04,15600,15620,15480,15600,8.228822,12835350
2010-10-05,15440,15580,15420,15460,8.154975,14300150
2010-10-06,15560,15880,15520,15860,8.36597,23555150
2010-10-07,15580,15660,15380,15400,8.123324,25542150
2010-10-08,15260,15320,15060,15160,7.996727,27125750
2010-10-11,15240,15260,15060,15060,7.943981,18784450
2010-10-12,15040,15120,14920,14920,7.87013,18391350
2010-10-13,15040,15040,14860,14880,7.849031,20414700
2010-10-14,15060,15060,14840,15000,7.912332,26710000
2010-10-15,15000,15120,14900,15080,7.954529,24686150
2010-10-18,15140,15240,14960,15020,7.92288,13804400
2010-10-19,15000,15020,14820,14820,7.817382,19450000
2010-10-20,14800,14980,14700,14900,7.859581,18474100
2010-10-21,14900,15300,14820,15300,8.070579,28370400
2010-10-22,15460,15540,15340,15540,8.197175,20425550
2010-10-25,15460,15580,15340,15420,8.133875,12353450
2010-10-26,15360,15420,15160,15260,8.049478,15629050
2010-10-27,15160,15300,15020,15060,7.943981,16732750
2010-10-28,15200,15300,15060,15280,8.060028,14631600
2010-10-29,15280,15300,14900,14900,7.859581,23060950
2010-11-01,15060,15060,14860,14940,7.880681,14837800
2010-11-02,14940,14960,14740,14800,7.806831,16536700
2010-11-03,14800,14980,14780,14800,7.806831,17874950
2010-11-04,14940,15280,14900,15260,8.049478,27312500
2010-11-05,15600,15800,15500,15520,8.186624,35165050
2010-11-08,15700,15760,15520,15560,8.207726,13961400
2010-11-09,15680,15680,15340,15480,8.165524,12801650
2010-11-10,15600,15800,15500,15800,8.334322,21088000
2010-11-11,15860,15980,15340,15340,8.091676,44525300
2010-11-12,15680,15800,15460,15560,8.207726,28325650
2010-11-15,15720,16300,15700,16160,8.524216,35892450
2010-11-16,16280,16400,16000,16220,8.55587,29475050
2010-11-17,16020,16080,15900,15900,8.38707,17123100
2010-11-18,15940,16100,15860,15980,8.42927,13296000
2010-11-19,16160,16380,16000,16360,8.629713,19355150
2010-11-22,16400,16960,16360,16960,8.946208,36057400
2010-11-23,17000,17020,16680,16800,8.86181,18280200
